series,model,simulation,year,forecast
incidence_age_standardized_rate,Drift,63,2025,161.0686985432358
incidence_age_standardized_rate,Drift,63,2026,151.95844096219125
incidence_age_standardized_rate,Drift,63,2027,142.8481833811467
incidence_age_standardized_rate,Drift,63,2028,133.73792580010215
incidence_age_standardized_rate,Drift,63,2029,124.62766821905761
incidence_age_standardized_rate,Drift,63,2030,115.51741063801306
incidence_age_standardized_rate,Drift,64,2024,198.82865818743875
incidence_age_standardized_rate,Drift,64,2025,190.52510686758683
incidence_age_standardized_rate,Drift,64,2026,182.22155554773494
incidence_age_standardized_rate,Drift,64,2027,173.91800422788302
incidence_age_standardized_rate,Drift,64,2028,165.61445290803113
incidence_age_standardized_rate,Drift,64,2029,157.3109015881792
incidence_age_standardized_rate,Drift,64,2030,149.00735026832731
incidence_age_standardized_rate,Drift,65,2024,176.84104335279545
incidence_age_standardized_rate,Drift,65,2025,167.65756537303224
incidence_age_standardized_rate,Drift,65,2026,158.47408739326903
incidence_age_standardized_rate,Drift,65,2027,149.2906094135058
incidence_age_standardized_rate,Drift,65,2028,140.10713143374255
incidence_age_standardized_rate,Drift,65,2029,130.92365345397934
incidence_age_standardized_rate,Drift,65,2030,121.74017547421612
incidence_age_standardized_rate,Drift,66,2024,185.92449818201624
incidence_age_standardized_rate,Drift,66,2025,176.5279546238147
incidence_age_standardized_rate,Drift,66,2026,167.13141106561315
incidence_age_standardized_rate,Drift,66,2027,157.7348675074116
incidence_age_standardized_rate,Drift,66,2028,148.33832394921004
incidence_age_standardized_rate,Drift,66,2029,138.94178039100848
incidence_age_standardized_rate,Drift,66,2030,129.54523683280695
incidence_age_standardized_rate,Drift,67,2024,173.032613204147
incidence_age_standardized_rate,Drift,67,2025,163.85787845004307
